?x	?label
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid1037	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid1063	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid1071	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid1097	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid118	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid122	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid125	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid132	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid145	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid152	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid162	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid168	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid173	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid182	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid188	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid195	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid2	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid202	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid210	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid215	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid220	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid225	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid234	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid250	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid256	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid261	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid266	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid271	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid280	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid298	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid326	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid335	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid340	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid349	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid415	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid452	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid456	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid469	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid476	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid630	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid645	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid659	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid718	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid754	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid802	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid855	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid907	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid916	
_:B018428cdX2D842dX2D41bbX2D960eX2D10ae67b714adgenid995	
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
