?x	?label
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid123	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid129	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid142	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid149	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid154	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid160	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid165	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid174	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid181	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid246	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid259	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid263	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid267	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid271	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid275	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid282	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid287	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid293	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid299	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid307	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid312	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid317	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid322	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid327	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid334	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid336	
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/GO_0002209>	"behavioral defense response"
<http://purl.obolibrary.org/obo/GO_0003008>	"system process"
<http://purl.obolibrary.org/obo/GO_0003012>	"muscle system process"
<http://purl.obolibrary.org/obo/GO_0003013>	"circulatory system process"
<http://purl.obolibrary.org/obo/GO_0003015>	"heart process"
<http://purl.obolibrary.org/obo/GO_0003016>	"respiratory system process"
<http://purl.obolibrary.org/obo/GO_0006810>	"transport"
<http://purl.obolibrary.org/obo/GO_0006936>	"muscle contraction"
<http://purl.obolibrary.org/obo/GO_0006950>	"response to stress"
<http://purl.obolibrary.org/obo/GO_0006952>	"defense response"
<http://purl.obolibrary.org/obo/GO_0007589>	"body fluid secretion"
<http://purl.obolibrary.org/obo/GO_0007610>	"behavior"
<http://purl.obolibrary.org/obo/GO_0008150>	"biological_process"
<http://purl.obolibrary.org/obo/GO_0032501>	"multicellular organismal process"
<http://purl.obolibrary.org/obo/GO_0032941>	"secretion by tissue"
<http://purl.obolibrary.org/obo/GO_0040011>	"locomotion"
